"Trends in death rates, 1930-2018",,,,,,,,,,,,,,,,,,,,,,
"Per 100,000, age adjusted to the 2000 US standard population.",,,,,,,,,,,,,,,,,,,,,,
YOU HAVE DOWNLOADED THE FULL DATA SET FOR THIS METRIC. THERE ARE MULTIPLE TABS OF DATA IN THIS FILE.,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Center for Health Statistics (NCHS), Centers for Disease Control and Prevention, 2020",,,,,,,,,,,,,,,,,,,,,,
"Â© Copyright American Cancer Society, 2018",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,All cancer types combined / Female,All cancer types combined / Male,Breast / Female,Breast / Male,Colorectum / Female,Colorectum / Male,Leukemia / Female,Leukemia / Male,Liver and intrahepatic bile duct / Female,Liver and intrahepatic bile duct / Male,Lung and bronchus / Female,Lung and bronchus / Male,Ovary / Female,Ovary / Male,Pancreas / Female,Pancreas / Male,Prostate / Female,Prostate / Male,Stomach / Female,Stomach / Male,Uterus (cervix and corpus combined) / Female,Uterus (cervix and corpus combined) / Male
1930,189.8,164.5,30.1,n/a,"27.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","23 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.1,3,"19.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","14.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","2.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","4.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","4.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,3.8,4.5,n/a,17.8,35.2,46.3,"36.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1931,189.4,165.5,30.6,n/a,"27.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","23.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.3,3.2,"18.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","13.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","2.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","4.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","4.8 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.1,4.7,n/a,18.4,33.8,45.7,"36.5 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1932,191.3,168.9,30.9,n/a,"28.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","25.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.5,3.2,"18.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","13 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","2.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.5,4.9,n/a,19.8,33.7,45.1,"36.7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1933,188.3,169.8,30.8,n/a,"28.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","25.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.5,3.4,"17.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","13 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.3,5.1,n/a,20.7,32.5,44.2,"35.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1934,190.4,175,31.6,n/a,"29.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","27.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.9,3.6,"17 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","12.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","6.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5.7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.4,5.4,n/a,22.7,31.6,44,"35.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1935,191.8,175.6,31.3,n/a,"30.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","27.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.8,3.8,"16.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","12.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5.9 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.7,5.6,n/a,22.7,31.4,43.7,"35.7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1936,194.8,179.9,32,n/a,"31.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","28.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.9,3.9,"16.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","12 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","6.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.1,6,n/a,23.8,30.9,43.4,"36 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1937,191.1,181.2,31.6,n/a,"31.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","29.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",3.1,4.1,"15.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","6.2 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5,6.2,n/a,24.2,29.2,42.5,"35.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1938,191.7,184.7,32.4,n/a,"32.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","31.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",3.2,4.5,"14.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","4.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","6.7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.4,6.7,n/a,25.7,28.9,41.9,"34.4 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1939,192.7,187.3,32.5,n/a,"33 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",3.5,4.8,"14.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","4.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.6,7,n/a,26.8,26.9,40.3,"34.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1940,193.8,193.3,33.8,n/a,"33.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",3.9,5.4,"13.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","4.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","11.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.4,6.8,n/a,27.4,25.7,40.1,"34 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1941,190,192.6,32.7,n/a,"33.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",3.9,5.3,"13.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","4.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","12.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.7,7.2,n/a,28.7,24.6,38.5,"32.7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1942,190.5,191.5,32.8,n/a,"33.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4,5.6,"13.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","4.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","13.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.6,7.3,n/a,27.1,25,38.1,"32.1 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1943,190.4,191.8,32.6,n/a,"34.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4,5.7,"14.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","4.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","14 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.2 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.2,7.1,n/a,27.3,23.5,36.9,"32.4 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1944,188.2,193.1,32,n/a,"34.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4.1,5.9,"13.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","14.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.5,7.3,n/a,27.9,22.5,36.2,"31.9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1945,189.4,197.9,32.9,n/a,"34.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","34.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4.4,6.1,"12.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","16 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.9,7.8,n/a,29.3,22.2,35.5,"31.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1946,189,201,33,n/a,"34.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","34.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4.5,6.5,"12.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","18.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,6,8,n/a,30.3,21.1,35.1,"30.9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1947,191.1,207.1,33.5,n/a,"35.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","35.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",4.8,7.2,"12.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","9.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","20.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,6.2,9,n/a,30.7,20.7,35,"30.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1948,191.8,212.7,34.6,n/a,"34.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","35.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.1,7.5,"11.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","9.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","22.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,6.7,9.4,n/a,31.9,20.6,34.6,"29.4 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1949,184.8,208.1,31.9,n/a,"33.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","34.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.2,7.6,"10.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","22.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.8 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,6.9,9.8,n/a,29.3,18.5,32.3,"27 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1950,181.9,208.1,31.9,n/a,"32.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.7,8.2,"9.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","24.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8.9 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,6.8,9.9,n/a,28.9,17.6,31.1,"26.2 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1951,180,208.8,31.6,n/a,"31.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",5.8,8.7,"9.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","25.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,6.7,10.3,n/a,28.6,16.5,29.7,"24.5 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1952,180.5,213.1,31.6,n/a,"31.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.2,8.8,"9.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","28 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,7.1,10.4,n/a,29.7,16.1,28.7,"23.8 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1953,179,215.8,32.2,n/a,"31.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6,9.1,"9.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","30.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.6 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,7.1,10.7,n/a,29.8,15.6,28.1,"23.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1954,176.9,217.7,31.8,n/a,"31.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.2,9.4,"8.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","31.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.9 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,7.3,11.2,n/a,30.5,14.8,27.3,"22.5 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1955,175.9,218.9,32.5,n/a,"31.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.2,9.6,"8.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.2 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","33.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,7.3,11.5,n/a,30.2,13.7,25.8,"22 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1956,174.5,223.4,32.3,n/a,"30.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.6,9.8,"8.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","36.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,7.9,12.2,n/a,31,13.5,25.2,"21 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1957,173.7,223.9,32.1,n/a,"30.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.6,9.9,"8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","37.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.2 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,7.6,12,n/a,30.6,12.7,23.9,"20.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1958,170.6,220.5,31.3,n/a,"29.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.5,10.4,"7.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","39.2 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,7.8,12.1,n/a,29.6,12.3,22.6,"20.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
