"Trends in death rates, 1930-2018",,,,,,,,,,,,,,,,,,,,,,
1959,168,223.3,31.1,n/a,"29.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.6,10.2,"7.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","41.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.2 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,7.8,12.6,n/a,28.9,11.8,22.6,"19.2 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1960,169.6,226.7,31.8,n/a,"29.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.7,10.5,"7.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","43.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.2 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8,12.6,n/a,29.3,11.5,21.8,"18.9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1961,167.3,228.5,31.7,n/a,"29.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.5,10.9,"6.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","45.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.1,13.1,n/a,29.8,10.7,20.9,"18.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1962,166.2,229.8,31.4,n/a,"29 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.7,10.6,"6.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","7.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","47.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.2 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.3,13.2,n/a,29.7,10.4,19.5,"17.8 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1963,166,233.4,31.2,n/a,"28.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.7,11,"6.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","49.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.3,13.5,n/a,29.9,10.2,19.4,"17.4 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1964,164.1,233.4,31.6,n/a,"28.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.7,10.8,"6.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","51.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.2,13.2,n/a,29.4,9.2,18.4,"16.9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1965,164.7,238,32,n/a,"27.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.7,10.9,"6.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","8.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","54.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.3,13.7,n/a,29.8,9,17.5,"16.4 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1966,164.5,240.4,31.9,n/a,"28.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.8,11.2,"6.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","9.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","56.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.4,13.8,n/a,29.5,8.7,16.7,"15.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1967,164.1,243.4,32.1,n/a,"27.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.8,11.3,"6.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","59.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.4,14,n/a,29.8,8.2,16.1,"15 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1968,163.8,246.2,32.4,n/a,"27.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.9,11.2,"5.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","63.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.5,14.2,n/a,30.1,7.9,15.7,"14.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1969,163.2,247.6,31.7,n/a,"27.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.8,11.3,"5.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","12.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","65.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.6 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.7,14.1,n/a,29.7,7.5,15,"13.7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1970,163,249.3,32.2,n/a,"26.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.8,11,"5.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","13.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","68.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.6 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.6,14,n/a,30,7.1,14.5,"13.1 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1971,162.2,251.8,31.7,n/a,"26.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.6,11,"5.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","14.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","70.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.4,13.7,n/a,30.1,6.8,13.8,"12.9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1972,162.7,255.4,32.3,n/a,"26.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.4,10.9,"5.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","15.2 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","72.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.3,13.4,n/a,30.4,6.6,13.4,"12.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1973,160.8,255,32.4,n/a,"25.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.3,10.9,"4.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","15.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","73.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.4,14,n/a,31,6.3,13,"12 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1974,161.1,257.9,32.1,n/a,"25.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.2,10.8,"4.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","16.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","75.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.6,13.4,n/a,30.9,6.1,12.7,"11.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1975,160,258.4,31.5,n/a,"25 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.2,10.9,"4.7 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","17.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","77.2 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.4,13.8,n/a,30.8,5.9,12.2,"10.8 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1976,162.7,262.2,31.8,n/a,"25.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.2,10.8,"4.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","19 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","79.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.6,13.6,n/a,31.6,5.7,12,"10.8 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1977,162.9,264.2,32.5,n/a,"24.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.3,10.8,"4.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","20 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","81.2 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.8 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.8,13.8,n/a,31.7,5.5,11.5,"10.2 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1978,163.8,267.1,31.7,n/a,"25.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","34.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.1,10.8,"4.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","21.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","82.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.8 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.8,13.6,n/a,32.6,5.5,11,"9.9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1979,163.1,268.7,31.2,n/a,"24.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","34 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.4,11,"4.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","22.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","83.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.8,13.4,n/a,32.7,5.2,11,"9.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1980,165.8,271.1,31.7,n/a,"24.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","34.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.5,11.2,"4.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","5.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","24.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","85.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.8,13.2,n/a,33.3,5.2,10.6,"9.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1981,165.9,269.8,32,n/a,"24.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.2,10.9,"4.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","25 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","85.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.9,13.2,n/a,33.2,5,10.6,"9.2 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1982,167.5,272.9,32.2,n/a,"23.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.3,11,"4.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","26.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","87.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,8.9,13.1,n/a,33.4,4.9,10.3,"9 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1983,168.3,274.1,32.1,n/a,"23.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.3,10.9,"4.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","28.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","87.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.1,12.8,n/a,33.9,4.8,9.9,"8.8 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1984,170.6,275.1,32.9,n/a,"23.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.4,10.7,"4.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","28.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","88.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.2,13,n/a,34.1,4.7,9.9,"8.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1985,171,275.7,33,n/a,"23.3 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","33.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.3,10.7,"4.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","30.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","89.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.3 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9,12.9,n/a,33.9,4.4,9.5,"8.4 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1986,171.6,276,32.9,n/a,"22.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.6 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.2,10.7,"4.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","31.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","89.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.2,12.5,n/a,34.9,4.2,9.4,"8.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1987,171.5,276.3,32.7,n/a,"22.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",6.1,10.3,"4.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","6.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","32.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","90.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,9.2,12.5,n/a,35.1,4.2,9.1,"8.1 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
